勘定科目,解説
現金,日常的に使う国内外の通貨（紙幣や硬貨）のほか、金融機関で通貨に換えることが出来る通貨代用証券も含みます。ここでいう通貨代用証券とは、他人振出小切手、郵便為替証書、配当金領収書、支払期日が到来した公社債の利札などをいいます。1
当座預金,当座取引契約に基づき、小切手を使用する無利息の預金を処理する勘定科目です。2
普通預金,普通預金口座を使った取引を処理する勘定科目です。2 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
定期預金,定期預金口座を使った取引を処理する勘定科目で、原則として一定期間払い戻し請求ができない預金です。2
現金過不足,現金の帳簿残高と実際有高に不一致が生じたときに、一時的に処理する勘定科目です。2
不渡手形,手形の満期日に、支払人の資金不足などにより支払いを拒絶された手形をいいます。2
受取手形,通常の営業取引で受け入れた手形債権（約束手形・為替手形）を処理する勘定科目です。具体的には、商品売上代金や売掛金を手形で受け取った場合に、受取手形として処理します。また、先日付小切手も受取手形として処理します。2
売掛金,営業取引において発生した掛売上による債権を処理する勘定科目です。2 ----------------------------------------------------------------------------------------------------------------------------------------------------
貸倒引当金,決算期末の売上債権について、次期以降に発生する貸倒（回収不能）見込額を見積もって計上する勘定科目です。3
商品,商業（販売業）を営む企業が、販売の目的をもって外部から買い入れた物品をいいます。3
貯蔵品,期中に経費処理した消耗品などのうち、決算時において未使用のものを処理する勘定科目です。また処分価値のある廃材も含めて処理されます。具体的には、切手、収入印紙の未使用分、消耗品、補助材料、事務用品、発送材料など。3
前渡金,商品や原材料などの仕入れ、外注加工などに際して代金の一部または全部を前もって支払った場合に、その前払した金額を処理する勘定科目です。3
前払費用,一定の契約に従い、継続して役務の提供を受ける場合、まだ提供されていない役務に対して支払われた対価を処理する勘定科目です。具体的には、未経過の支払利息、保険料（火災保険料、経営者保険）、地代家賃、リース料など。3
未収収益,一定の契約に従い、継続して役務の提供を行う場合、すでに提供した役務に対してまだその対価の支払を受けてない場合に使用する勘定科目です。具体的には、期日未到来の受取利息、受取家賃など。4
未収入金,営業目的以外の代金の未回収残高を処理する勘定科目です。具体的には、固定資産売却代金、株式売却代金、税金の還付金など。4
預け金,取引先や従業員などに一時的に預ける金銭を処理する勘定科目です。また、営業保証のために仕入先に対して差し入れる保証金を処理する場合や銀行以外に預金する場合にも使用されます。具体的には、株式先物預け金、証券会社、保険会社、手形割引業者に対する預金など。4
立替金,取引先、役員、従業員、子会社などに対して一時的な金銭の立替払いをした場合や従業員が負担すべき社会保険料を立替払いした場合に、その立替払いした金額を処理する勘定科目です。4
仮払金,金額や使途が不確定な場合の金銭支払いを処理する勘定科目で、交通費、交際費などの概算支払いに多く使われます。具体的には、交通費仮払い、出張旅費仮払い、社員仮払い、役員仮払いなど。4
仮払消費税等,消費税の課税事業者で、課税仕入に係る消費税額を処理する勘定科目です。税抜経理を採用する場合に使用します。5
